city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
luanda,ao,2017-09-08 13:00:00,13.23,-8.84,71.6,78.0,20.0,4.7
lucapa,ao,2017-09-08 13:41:59,20.74,-8.42,68.04,88.0,0.0,2.73
luderitz,na,2017-09-08 13:00:00,15.16,-26.65,55.4,87.0,0.0,16.11
luis correia,br,2017-09-08 13:00:00,-41.67,-2.88,86.0,66.0,40.0,11.41
lutry,ch,2017-09-08 12:50:00,6.69,46.5,62.6,67.0,24.0,4.7
maceio,br,2017-09-08 13:00:00,-35.74,-9.67,77.0,73.0,40.0,11.41
madimba,tz,2017-09-08 13:42:00,40.33,-10.4,74.07,100.0,68.0,8.99
mafra,br,2017-09-08 13:42:01,-49.81,-26.11,71.55,74.0,12.0,1.61
mahajanga,mg,2017-09-08 13:00:00,46.32,-15.72,77.0,61.0,20.0,13.87
mahebourg,mu,2017-09-08 13:00:00,57.7,-20.41,73.4,69.0,75.0,14.99
malakal,sd,2017-09-08 13:42:01,31.66,9.53,72.72,96.0,20.0,1.61
maldonado,uy,2017-09-08 13:00:00,-54.95,-34.9,59.0,93.0,90.0,8.05
mamlyutka,kz,2017-09-08 13:42:02,68.54,54.94,46.26,68.0,48.0,9.78
mana,gf,2017-09-08 13:42:03,-53.78,5.66,90.81,42.0,0.0,5.08
manaure,co,2017-09-08 13:42:03,-72.44,11.78,82.62,95.0,36.0,8.21
mancio lima,br,2017-09-08 13:00:00,-72.9,-7.61,91.4,55.0,40.0,2.24
mandal,in,2017-09-08 13:42:03,74.57,25.45,72.9,91.0,32.0,3.18
manicore,br,2017-09-08 13:00:00,-61.3,-5.81,93.2,59.0,20.0,2.24
maniitsoq,gl,2017-09-08 13:42:04,-52.9,65.42,41.22,87.0,0.0,8.77
manjakandriana,mg,2017-09-08 13:30:00,47.8,-18.92,57.2,87.0,75.0,8.05
manoel urbano,br,2017-09-08 13:42:05,-69.26,-8.84,79.02,90.0,80.0,4.41
manono,cd,2017-09-08 13:42:05,27.42,-7.3,75.96,60.0,48.0,3.51
manta,ec,2017-09-08 13:00:00,-80.73,-0.95,77.0,83.0,90.0,6.93
manyana,bw,2017-09-08 13:42:06,21.72,-23.4,68.13,23.0,0.0,11.56
mar del plata,ar,2017-09-08 13:00:00,-57.56,-38.0,51.8,87.0,40.0,12.75
marawi,sd,2017-09-08 13:42:06,31.82,18.48,84.96,27.0,12.0,12.46
marcona,pe,2017-09-08 13:42:07,-75.16,-15.37,59.22,94.0,64.0,14.03
margate,za,2017-09-08 13:42:07,30.37,-30.86,63.45,93.0,0.0,7.43
marienburg,sr,2017-09-08 13:00:00,-55.02,5.85,93.2,49.0,20.0,11.41
mariental,na,2017-09-08 13:00:00,17.97,-24.63,73.4,18.0,44.0,2.24
marrakesh,ma,2017-09-08 13:00:00,-8.01,31.63,87.8,20.0,0.0,13.87
marzuq,ly,2017-09-08 13:42:09,13.92,25.92,80.28,21.0,0.0,8.32
masty,by,2017-09-08 13:42:09,24.54,53.41,52.38,88.0,64.0,8.21
masuguru,tz,2017-09-08 13:42:09,38.42,-11.37,74.61,60.0,0.0,11.01
matara,lk,2017-09-08 13:42:09,80.54,5.95,75.24,100.0,92.0,12.12
matay,eg,2017-09-08 13:42:10,30.78,28.42,69.75,69.0,0.0,2.95
medina,br,2017-09-08 13:42:10,-41.48,-16.22,71.91,54.0,20.0,10.22
